WO_NUMBER,WO_CREATEDATE,WO_COMPLETEDATE,WO_DESC,WO_TYPE,WO_TYPEDESC,WO_CUSTOMERNUMBER,SALES_CLASS,SERVICEADDRESSSTREETNUMBER,ServiceAddressStreetName,Year,Month,Zip
850893,10/15/11,11/22/11,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8900134301,CITY OF DETROIT,92XX,TEMPLE ST,2011,11,48201-2538
503147,6/10/11,6/14/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503795300,CITY COMMERCIAL,15XX,MACK AVE,2011,6,48224-3350
966939,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503725300,CITY RESIDENTIAL,50XX,WAYBURN ST,2011,12,48224-3035
967026,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503697300,CITY RESIDENTIAL,52XX,WAYBURN ST,2011,12,48224-3037
966882,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503693300,CITY RESIDENTIAL,53XX,WAYBURN ST,2011,12,48224-3036
503144,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503682301,CITY RESIDENTIAL,55XX,WAYBURN ST,2011,6,48224-3038
966896,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503673300,CITY RESIDENTIAL,55XX,WAYBURN ST,2011,12,48224-3038
503202,6/10/11,6/23/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503654300,CITY COMMERCIAL,14XX,HARPER AVE,2011,6,48224-2959
503156,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503618300,CITY RESIDENTIAL,58XX,MARYLAND ST,2011,6,48224-3023
503186,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503577300,CITY RESIDENTIAL,59XX,WAYBURN ST,2011,6,48224-3042
966924,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503512300,CITY RESIDENTIAL,48XX,MARYLAND ST,2011,12,48224-3339
966968,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503493300,CITY RESIDENTIAL,52XX,MARYLAND ST,2011,12,48224-3018
503204,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503450300,CITY RESIDENTIAL,55XX,MARYLAND ST,2011,6,48224-3020
966916,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503338300,CITY RESIDENTIAL,43XX,LAKEPOINTE ST,2011,12,48224-3324
966987,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503306300,CITY RESIDENTIAL,48XX,LAKEPOINTE ST,2011,12,48224-3325
966929,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503266300,CITY RESIDENTIAL,55XX,LAKEPOINTE ST,2011,12,48224-3010
427949,4/21/11,5/6/11,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8503138300,CITY COMMERCIAL,15XX,MACK AVE,2011,5,48224-3350
967010,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503110300,CITY RESIDENTIAL,36XX,BEACONSFIELD ST,2011,12,48224-3306
967033,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503086300,CITY RESIDENTIAL,40XX,BEACONSFIELD ST,2011,12,48224-3307
967041,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503069300,CITY RESIDENTIAL,41XX,BEACONSFIELD ST,2011,12,48224-3310
55002,2/11/11,3/7/11,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8503055300,CITY RESIDENTIAL,43XX,BEACONSFIELD ST,2011,3,48224-3312
967053,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503044300,CITY RESIDENTIAL,44XX,BEACONSFIELD ST,2011,12,48224-3312
967083,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503016300,CITY RESIDENTIAL,48XX,BEACONSFIELD ST,2011,12,48224-3316
967018,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503006300,CITY RESIDENTIAL,48XX,BEACONSFIELD ST,2011,12,48224-3316
967054,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503002300,CITY RESIDENTIAL,50XX,BEACONSFIELD ST,2011,12,48224-3123
967084,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502983300,CITY RESIDENTIAL,51XX,BEACONSFIELD ST,2011,12,48224-3123
503189,6/10/11,6/16/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502968302,CITY RESIDENTIAL,52XX,BEACONSFIELD ST,2011,6,48224-3125
503187,6/10/11,6/16/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502965300,CITY RESIDENTIAL,52XX,BEACONSFIELD ST,2011,6,48224-3125
967006,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502962300,CITY RESIDENTIAL,52XX,BEACONSFIELD ST,2011,12,48224-3125
967085,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502905300,CITY RESIDENTIAL,59XX,BEACONSFIELD ST,2011,12,48224-3129
503178,6/10/11,6/16/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502903300,CITY RESIDENTIAL,59XX,BEACONSFIELD ST,2011,6,48224-3129
840792,10/10/11,10/13/11,VOID,324,CC NON-RESIDENTIAL SHUT,100127300,CITY COMMERCIAL,13XX,ORLEANS ST,2011,10,48207-2942
503185,6/10/11,6/14/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502894300,CITY COMMERCIAL,15XX,HARPER AVE,2011,6,48224-3053
503190,6/10/11,6/23/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502877300,CITY COMMERCIAL,15XX,HARPER AVE,2011,6,48224-3046
503214,6/10/11,6/14/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502863300,CITY RESIDENTIAL,52XX,NOTTINGHAM RD,2011,6,48224-3132
503149,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502862300,CITY RESIDENTIAL,52XX,NOTTINGHAM RD,2011,6,48224-3132
966965,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502859300,CITY RESIDENTIAL,52XX,NOTTINGHAM RD,2011,12,48224-3132
966906,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502842301,CITY RESIDENTIAL,53XX,NOTTINGHAM RD,2011,12,48224-3132
967000,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502840300,CITY RESIDENTIAL,55XX,NOTTINGHAM RD,2011,12,48224-3135
503199,6/10/11,6/14/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502839300,CITY RESIDENTIAL,55XX,NOTTINGHAM RD,2011,6,48224-3134
966948,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502819300,CITY RESIDENTIAL,56XX,NOTTINGHAM RD,2011,12,48224-3134
967079,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502786300,CITY RESIDENTIAL,59XX,NOTTINGHAM RD,2011,12,48224-3116
967031,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502783300,CITY RESIDENTIAL,59XX,NOTTINGHAM RD,2011,12,48224-3117
503213,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502754300,CITY RESIDENTIAL,41XX,NOTTINGHAM RD,2011,6,48224-3419
966958,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502735300,CITY RESIDENTIAL,43XX,NOTTINGHAM RD,2011,12,48224-3421
503227,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502718300,CITY RESIDENTIAL,46XX,NOTTINGHAM RD,2011,6,48224-3424
967007,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502702300,CITY RESIDENTIAL,46XX,NOTTINGHAM RD,2011,12,48224-3424
966895,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502690300,CITY RESIDENTIAL,48XX,NOTTINGHAM RD,2011,12,48224-3426
503221,6/10/11,6/14/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502670300,CITY RESIDENTIAL,50XX,NOTTINGHAM RD,2011,6,48224-3130
271668,3/28/11,4/2/11,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8502663300,CITY RESIDENTIAL,50XX,NOTTINGHAM RD,2011,4,48224-3130
967045,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502647300,CITY RESIDENTIAL,35XX,SOMERSET AVE,2011,12,48224-3458
967012,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502625300,CITY RESIDENTIAL,36XX,SOMERSET AVE,2011,12,48224-3460
967087,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502622300,CITY RESIDENTIAL,36XX,SOMERSET AVE,2011,12,48224-3459
966935,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502617300,CITY RESIDENTIAL,36XX,SOMERSET AVE,2011,12,48224-3460
966879,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502604300,CITY RESIDENTIAL,39XX,SOMERSET AVE,2011,12,48224-3466
967027,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502580300,CITY RESIDENTIAL,41XX,SOMERSET AVE,2011,12,48224-3467
967073,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502565300,CITY RESIDENTIAL,41XX,SOMERSET AVE,2011,12,48224-3462
966915,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502550300,CITY RESIDENTIAL,36XX,NOTTINGHAM RD,2011,12,48224-3416
503181,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502542300,CITY RESIDENTIAL,36XX,NOTTINGHAM RD,2011,6,48224-3413
503223,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502526300,CITY RESIDENTIAL,39XX,NOTTINGHAM RD,2011,6,48224-3417
967014,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502520300,CITY RESIDENTIAL,39XX,NOTTINGHAM RD,2011,12,48224-3417
967034,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502516300,CITY RESIDENTIAL,43XX,SOMERSET AVE,2011,12,48224-3427
967143,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502488300,CITY RESIDENTIAL,46XX,SOMERSET AVE,2011,12,48224-3429
967088,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502465300,CITY RESIDENTIAL,48XX,SOMERSET AVE,2011,12,48224-3431
966963,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502459300,CITY RESIDENTIAL,48XX,SOMERSET AVE,2011,12,48224-3431
967089,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502453300,CITY RESIDENTIAL,50XX,SOMERSET AVE,2011,12,48224-3141
967047,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502440300,CITY RESIDENTIAL,50XX,SOMERSET AVE,2011,12,48224-3141
967090,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502436300,CITY RESIDENTIAL,51XX,SOMERSET AVE,2011,12,48224-3140
967091,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502417300,CITY RESIDENTIAL,52XX,SOMERSET AVE,2011,12,48224-3142
503218,6/10/11,6/28/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502383300,CITY COMMERCIAL,15XX,E WARREN AVE,2011,6,48224-3148
503148,6/10/11,7/12/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502376300,CITY COMMERCIAL,15XX,E WARREN AVE,2011,7,48224-3148
966961,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502345300,CITY RESIDENTIAL,50XX,BALFOUR RD,2011,12,48224-3103
966997,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502336300,CITY RESIDENTIAL,52XX,BALFOUR RD,2011,12,48224-3105
967112,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502332300,CITY RESIDENTIAL,52XX,BALFOUR RD,2011,12,48224-3104
966917,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502330300,CITY RESIDENTIAL,52XX,BALFOUR RD,2011,12,48224-3104
967113,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502295300,CITY RESIDENTIAL,55XX,BALFOUR RD,2011,12,48224-3106
964145,12/15/11,12/16/11,COMPLETE,324,CC NON-RESIDENTIAL SHUT,100445300,CITY FIRELINES COMM,47XX,TEMPLE ST,2011,12,48201-2644
964133,12/15/11,12/15/11,VOID,324,CC NON-RESIDENTIAL SHUT,100446300,CITY FIRELINES COMM,47XX,TEMPLE ST,2011,12,48201-2644
967138,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502284300,CITY RESIDENTIAL,57XX,SOMERSET AVE,2011,12,48224-3119
966990,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502274300,CITY RESIDENTIAL,57XX,SOMERSET AVE,2011,12,48224-3118
966922,12/16/11,12/21/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502267300,CITY RESIDENTIAL,59XX,SOMERSET AVE,2011,12,48224-3121
967092,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502258300,CITY RESIDENTIAL,43XX,BALFOUR RD,2011,12,48224-3441
503142,6/10/11,7/12/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502242300,CITY COMMERCIAL,15XX,E WARREN AVE,2011,7,48224-3263
503145,6/10/11,6/17/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502204300,CITY RESIDENTIAL,46XX,CHATSWORTH ST,2011,6,48224-3407
967056,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502126300,CITY RESIDENTIAL,46XX,BALFOUR RD,2011,12,48224-3402
503150,6/10/11,6/16/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502084300,CITY RESIDENTIAL,43XX,BERKSHIRE ST,2011,6,48224-3501
966914,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502080300,CITY RESIDENTIAL,43XX,BERKSHIRE ST,2011,12,48224-3501
967050,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502071300,CITY RESIDENTIAL,44XX,BERKSHIRE ST,2011,12,48224-3502
967057,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502068300,CITY RESIDENTIAL,46XX,BERKSHIRE ST,2011,12,48224-3503
503141,6/10/11,6/16/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502060300,CITY RESIDENTIAL,46XX,BERKSHIRE ST,2011,6,48224-3503
966925,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502059300,CITY RESIDENTIAL,46XX,BERKSHIRE ST,2011,12,48224-3503
967004,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502056301,CITY RESIDENTIAL,46XX,BERKSHIRE ST,2011,12,48224-3504
966934,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502040300,CITY OF DETROIT,48XX,BERKSHIRE ST,2011,12,48224-3506
966955,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502039300,CITY RESIDENTIAL,48XX,BERKSHIRE ST,2011,12,48224-3505
664162,8/5/11,8/16/11,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8502034300,CITY RESIDENTIAL,48XX,BERKSHIRE ST,2011,8,48224-3505
967025,12/16/11,12/20/11,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8501879300,CITY RESIDENTIAL,34XX,BALFOUR RD,2011,12,48224-3433
