WO_NUMBER,WO_CREATEDATE,WO_COMPLETEDATE,WO_DESC,WO_TYPE,WO_TYPEDESC,WO_CUSTOMERNUMBER,SALES_CLASS,SERVICEADDRESSSTREETNUMBER,ServiceAddressStreetName,Year,Month,Zip
186110,3/21/17,3/24/17,VOID,324,CC NON-RESIDENTIAL SHUT,8600154302,CITY CHURCH,14XX,CANTON ST,2017,3,48207-3601
301048,5/17/17,5/24/17,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503989300,CITY RESIDENTIAL,36XX,MARYLAND ST,2017,5,48224-=3334
630388,10/12/17,10/25/17,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503973301,CITY RESIDENTIAL,46XX,BERKSHIRE ST,2017,10,48224-3503
366452,6/14/17,6/20/17,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503966301,CITY RESIDENTIAL,41XX,MARYLAND ST,2017,6,48224-3336
301047,5/17/17,5/24/17,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503966300,CITY RESIDENTIAL,41XX,MARYLAND ST,2017,5,48224-3336
534993,9/8/17,9/19/17,VOID,318,CC TURN-OFF NON-PAYMENT,8503956300,CITY RESIDENTIAL,47XX,LAKEPOINTE ST,2017,9,48224-2827
534992,9/8/17,9/22/17,VOID,318,CC TURN-OFF NON-PAYMENT,8503955301,CITY RESIDENTIAL,35XX,LAKEPOINTE ST,2017,9,48224-2827
534991,9/8/17,9/20/17,VOID,318,CC TURN-OFF NON-PAYMENT,8503951300,CITY RESIDENTIAL,44XX,MARYLAND ST,2017,9,48224-3337
534990,9/8/17,9/22/17,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503948300,CITY RESIDENTIAL,41XX,MARYLAND ST,2017,9,48224-3335
301045,5/17/17,5/20/17,VOID,318,CC TURN-OFF NON-PAYMENT,8503943300,CITY RESIDENTIAL,43XX,LAKEPOINTE ST,2017,5,48224-3351
534989,9/8/17,9/19/17,VOID,318,CC TURN-OFF NON-PAYMENT,8503920300,CITY RESIDENTIAL,47XX,LAKEPOINTE ST,2017,9,48224-3326
534987,9/8/17,9/15/17,VOID,318,CC TURN-OFF NON-PAYMENT,8503919301,CITY RESIDENTIAL,44XX,LAKEPOINTE ST,2017,9,48224-3351
534986,9/8/17,9/22/17,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503917300,CITY RESIDENTIAL,44XX,LAKEPOINTE ST,2017,9,48224-3351
534985,9/8/17,9/18/17,VOID,318,CC TURN-OFF NON-PAYMENT,8503915300,CITY RESIDENTIAL,43XX,LAKEPOINTE ST,2017,9,48224-3351
366451,6/14/17,6/16/17,VOID,318,CC TURN-OFF NON-PAYMENT,8503909300,CITY RESIDENTIAL,36XX,WAYBURN ST,2017,6,48224-3368
