WO_NUMBER,WO_CREATEDATE,WO_COMPLETEDATE,WO_DESC,WO_TYPE,WO_TYPEDESC,WO_CUSTOMERNUMBER,SALES_CLASS,SERVICEADDRESSSTREETNUMBER,ServiceAddressStreetName,Year,Month,Zip
13195,1/12/10,1/12/10,VOID,318,CC TURN-OFF NON-PAYMENT,100008301,CITY COMMERCIAL,40XX,E JEFFERSON AVE,2010,1,48243-1007
13196,1/12/10,1/12/10,VOID,318,CC TURN-OFF NON-PAYMENT,100009301,CITY COMMERCIAL,40XX,E JEFFERSON AVE,2010,1,48243-1007
429,1/5/10,1/6/10,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8503866300,CITY RESIDENTIAL,48XX,WAYBURN ST,2010,1,48224-3225
13197,1/12/10,1/12/10,VOID,318,CC TURN-OFF NON-PAYMENT,100011301,CITY COMMERCIAL,40XX,E JEFFERSON AVE,2010,1,48243-1007
13198,1/12/10,1/12/10,VOID,318,CC TURN-OFF NON-PAYMENT,100012301,CITY COMMERCIAL,40XX,E JEFFERSON AVE,2010,1,48243-1007
741222,9/30/10,10/2/10,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8503196300,CITY RESIDENTIAL,42XX,BARHAM ST,2010,10,48224-3302
13199,1/12/10,1/12/10,VOID,318,CC TURN-OFF NON-PAYMENT,100013301,CITY COMMERCIAL,40XX,E JEFFERSON AVE,2010,1,48243-1007
354,1/5/10,1/6/10,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8503128300,CITY RESIDENTIAL,35XX,BEACONSFIELD ST,2010,1,48224-3305
855790,12/1/10,12/4/10,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8502909300,CITY RESIDENTIAL,59XX,BEACONSFIELD ST,2010,12,48224-3128
682905,9/10/10,9/14/10,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8502785300,CITY RESIDENTIAL,59XX,NOTTINGHAM RD,2010,9,48224-3117
