WO_NUMBER,WO_CREATEDATE,WO_COMPLETEDATE,WO_DESC,WO_TYPE,WO_TYPEDESC,WO_CUSTOMERNUMBER,SALES_CLASS,SERVICEADDRESSSTREETNUMBER,ServiceAddressStreetName,Year,Month,Zip
574893,7/26/12,7/26/12,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8600037300,CITY SCHOOLS,29XX,E OUTER DR,2012,7,48234-2208
574892,7/26/12,7/26/12,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8600036300,CITY SCHOOLS,29XX,E OUTER DR,2012,7,48234-2208
574888,7/26/12,7/26/12,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8600035300,CITY SCHOOLS,29XX,E OUTER DR,2012,7,48234-2208
856733,10/12/12,12/10/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503795300,CITY COMMERCIAL,15XX,MACK AVE,2012,12,48224-3350
859304,10/12/12,11/19/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503694302,CITY RESIDENTIAL,53XX,WAYBURN ST,2012,11,48224-3036
862236,10/12/12,11/19/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503686301,CITY RESIDENTIAL,55XX,WAYBURN ST,2012,11,48224-3039
967146,12/16/11,1/10/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503650300,CITY COMMERCIAL,15XX,HARPER AVE,2012,1,48224-2962
967003,12/16/11,1/10/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503645300,CITY CHURCH,15XX,HARPER AVE,2012,1,48224-2969
861548,10/12/12,11/27/12,VOID,318,CC TURN-OFF NON-PAYMENT,8503255302,CITY RESIDENTIAL,57XX,LAKEPOINTE ST,2012,11,48224-3013
859725,10/12/12,10/26/12,VOID,318,CC TURN-OFF NON-PAYMENT,8503210301,CITY RESIDENTIAL,11XX,E OUTER DR,2012,10,48224-3060
859681,10/12/12,12/11/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503194301,CITY RESIDENTIAL,42XX,BARHAM ST,2012,12,48224-3302
967067,12/16/11,1/5/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503188300,CITY RESIDENTIAL,44XX,BARHAM ST,2012,1,48224-3303
863305,10/12/12,12/18/12,VOID,318,CC TURN-OFF NON-PAYMENT,8503149301,CITY RESIDENTIAL,57XX,BARHAM ST,2012,12,48224-3004
966877,12/16/11,1/6/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503141300,CITY COMMERCIAL,15XX,MACK AVE,2012,1,48224-3350
966880,12/16/11,1/5/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503139300,CITY COMMERCIAL,15XX,MACK AVE,2012,1,48224-3350
966977,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503121300,CITY RESIDENTIAL,36XX,BEACONSFIELD ST,2012,1,48224-3305
966926,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503062300,CITY RESIDENTIAL,43XX,BEACONSFIELD ST,2012,1,48224-3311
967101,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503058300,CITY RESIDENTIAL,43XX,BEACONSFIELD ST,2012,1,48224-3312
966992,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503041300,CITY RESIDENTIAL,46XX,BEACONSFIELD ST,2012,1,48224-3314
967102,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503037300,CITY OF DETROIT,46XX,BEACONSFIELD ST,2012,1,48224-3313
967104,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503010300,CITY RESIDENTIAL,48XX,BEACONSFIELD ST,2012,1,48224-3315
967105,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8503007300,CITY OF DETROIT,48XX,BEACONSFIELD ST,2012,1,48224-3316
967097,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502997300,CITY RESIDENTIAL,50XX,BEACONSFIELD ST,2012,1,48224-3122
966959,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502993300,CITY RESIDENTIAL,50XX,BEACONSFIELD ST,2012,1,48224-3122
967046,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502989300,CITY RESIDENTIAL,50XX,BEACONSFIELD ST,2012,1,48224-3123
966981,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502984300,CITY RESIDENTIAL,51XX,BEACONSFIELD ST,2012,1,48224-3122
966976,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502973300,CITY RESIDENTIAL,52XX,BEACONSFIELD ST,2012,1,48224-3125
966913,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502972300,CITY RESIDENTIAL,52XX,BEACONSFIELD ST,2012,1,48224-3124
967099,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502966300,CITY RESIDENTIAL,52XX,BEACONSFIELD ST,2012,1,48224-3124
966878,12/16/11,1/4/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502959303,CITY RESIDENTIAL,53XX,BEACONSFIELD ST,2012,1,48224-3125
966937,12/16/11,1/5/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502952300,CITY RESIDENTIAL,55XX,BEACONSFIELD ST,2012,1,48224-3127
862326,10/12/12,11/19/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502951301,CITY RESIDENTIAL,55XX,BEACONSFIELD ST,2012,11,48224-3127
966957,12/16/11,1/5/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502943300,CITY RESIDENTIAL,55XX,BEACONSFIELD ST,2012,1,48224-3127
862472,10/12/12,12/20/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502940301,CITY RESIDENTIAL,55XX,BEACONSFIELD ST,2012,12,48224-3127
966887,12/16/11,1/10/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502899300,CITY COMMERCIAL,15XX,HARPER AVE,2012,1,48224-3052
967145,12/16/11,1/6/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502893300,CITY COMMERCIAL,15XX,HARPER AVE,2012,1,48224-3055
967157,12/16/11,1/10/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502884300,CITY COMMERCIAL,15XX,HARPER AVE,2012,1,48224-3044
967039,12/16/11,1/6/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502876300,CITY COMMERCIAL,15XX,HARPER AVE,2012,1,48224-3046
967142,12/16/11,1/6/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502874300,CITY COMMERCIAL,15XX,HARPER AVE,2012,1,48224-3046
967139,12/16/11,1/6/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502872300,CITY COMMERCIAL,15XX,HARPER AVE,2012,1,48224-3046
967100,12/16/11,1/6/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502871300,CITY COMMERCIAL,15XX,HARPER AVE,2012,1,48224-3046
966979,12/16/11,1/6/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502855300,CITY RESIDENTIAL,52XX,NOTTINGHAM RD,2012,1,48224-3132
967098,12/16/11,1/6/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502854300,CITY RESIDENTIAL,52XX,NOTTINGHAM RD,2012,1,48224-3133
966978,12/16/11,1/6/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502846300,CITY RESIDENTIAL,52XX,NOTTINGHAM RD,2012,1,48224-3132
858945,10/12/12,11/14/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502820301,CITY RESIDENTIAL,56XX,NOTTINGHAM RD,2012,11,48224-3135
653443,8/8/12,8/8/12,COMPLETE,324,CC NON-RESIDENTIAL SHUT,8502788300,CITY RESIDENTIAL,59XX,NOTTINGHAM RD,2012,8,48224-3116
967149,12/16/11,1/10/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502778300,CITY COMMERCIAL,15XX,E WARREN AVE,2012,1,48224-3153
967156,12/16/11,1/10/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502770300,CITY COMMERCIAL,15XX,E WARREN AVE,2012,1,48224-3154
967075,12/16/11,1/10/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502753300,CITY RESIDENTIAL,41XX,NOTTINGHAM RD,2012,1,48224-3419
859683,10/12/12,12/7/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502744301,CITY RESIDENTIAL,42XX,NOTTINGHAM RD,2012,12,48224-3420
859710,10/12/12,12/7/12,COMPLETE,318,CC TURN-OFF NON-PAYMENT,8502739302,CITY RESIDENTIAL,43XX,NOTTINGHAM RD,2012,12,48224-3422
